Sid,Detection,Level,Tags
6d44fb93-e7d2-475c-9d3d-54c9c1e33427,"{'selection': {'EventID': 16403}, 'filter_main_generic': {'RemoteName|contains': ['.azureedge.net/', '.com/', '.sfx.ms/', 'download.mozilla.org/']}, 'condition': 'selection and not 1 of filter_main_*'}",medium,['T1197']
f8a56cb7-a363-44ed-a82f-5926bb44cd05,"{'selection': {'EventID': 16403, 'LocalName|contains': ['\\Desktop\\', 'C:\\Users\\Public\\', 'C:\\PerfLogs\\']}, 'condition': 'selection'}",high,['T1197']
e2b5163d-7deb-4566-9af3-40afea6858c3,"{'selection': {'EventID': 70}, 'condition': 'selection'}",medium,['T1649']
58c0bff0-40a0-46e8-b5e8-b734b84d2017,"{'selection': {'EventID': 1007}, 'condition': 'selection'}",medium,['T1649']
e4be5675-4a53-426a-8c81-a8bb2387e947,"{'selection': {'EventID': 3077}, 'condition': 'selection'}",high,['T1543']
9b72b82d-f1c5-4632-b589-187159bc6ec1,"{'selection': {'EventID': 3023}, 'condition': 'selection'}",high,['T1543']
29f171d7-aa47-42c7-9c7b-3c87938164d9,"{'selection': {'EventID': 3008, 'QueryName|contains': '.anonfiles.com'}, 'condition': 'selection'}",high,['T1567']
66474410-b883-415f-9f8d-75345a0a66a6,"{'selection': {'EventID': 3008, 'QueryName|contains': 'userstorage.mega.co.nz'}, 'condition': 'selection'}",medium,['T1567']
8384bd26-bde6-4da9-8e5d-4174a7a47ca2,"{'selection': {'EventID': 3008, 'QueryName|contains': '.onion'}, 'condition': 'selection'}",high,['T1090']
090ffaad-c01a-4879-850c-6d57da98452d,"{'selection': {'EventID': 3008, 'QueryName|contains': 'ufile.io'}, 'condition': 'selection'}",low,['T1567']
0d18728b-f5bf-4381-9dcf-915539fff6c2,"{'selection_eid': {'EventID': 3008}, 'selection_query_1': {'QueryName|startswith': ['aaa.stage.', 'post.1']}, 'selection_query_2': {'QueryName|contains': '.stage.123456.'}, 'condition': 'selection_eid and 1 of selection_query_*'}",critical,['T1071']
6d444368-6da1-43fe-b2fc-44202430480e,"{'selection': {'EventID': 6004}, 'condition': 'selection'}",medium,['T1590']
cbe51394-cd93-4473-b555-edf0144952d9,"{'selection': {'EventID': [150, 770, 771]}, 'condition': 'selection'}",high,['T1574']
1a4bd6e3-4c6e-405d-a9a3-53a116e341d4,"{'selection': {'EventID': [2003, 2100, 2102]}, 'condition': 'selection'}",low,['T1200']
cde0a575-7d3d-4a49-9817-b8004a7bf105,"{'selection': {'EventID': [2004, 2071, 2097]}, 'filter_main_block': {'Action': 2}, 'filter_main_generic': {'ApplicationPath|contains': [':\\Program Files (x86)\\', ':\\Program Files\\', ':\\Windows\\System32\\', ':\\Windows\\SysWOW64\\', ':\\Windows\\WinSxS\\']}, 'filter_optional_msmpeng': {'ModifyingApplication|contains|all': [':\\ProgramData\\Microsoft\\Windows Defender\\Platform\\', '\\MsMpEng.exe']}, 'filter_main_covered_paths': {'ApplicationPath|contains': [':\\PerfLogs\\', ':\\Temp\\', ':\\Tmp\\', ':\\Users\\Public\\', ':\\Windows\\Tasks\\', ':\\Windows\\Temp\\', '\\AppData\\Local\\Temp\\']}, 'condition': 'selection and not 1 of filter_main_* and not 1 of filter_optional_*'}",medium,['T1562']
9e2575e7-2cb9-4da1-adc8-ed94221dca5e,"{'selection': {'EventID': [2004, 2071, 2097], 'ApplicationPath|contains': [':\\PerfLogs\\', ':\\Temp\\', ':\\Tmp\\', ':\\Users\\Public\\', ':\\Windows\\Tasks\\', ':\\Windows\\Temp\\', '\\AppData\\Local\\Temp\\']}, 'filter_main_block': {'Action': 2}, 'condition': 'selection and not 1 of filter_main_*'}",high,['T1562']
eca81e8d-09e1-4d04-8614-c91f44fd0519,"{'selection': {'EventID': [2004, 2071, 2097], 'Action': 3, 'ModifyingApplication|endswith': ':\\Windows\\System32\\wbem\\WmiPrvSE.exe'}, 'condition': 'selection'}",medium,['T1562']
5570c4d9-8fdd-4622-965b-403a5a101aa0,"{'selection': {'EventID': [2005, 2073]}, 'filter_optional_teams': {'ApplicationPath|endswith': '\\AppData\\local\\microsoft\\teams\\current\\teams.exe'}, 'filter_optional_keybase': {'ApplicationPath|endswith': '\\AppData\\Local\\Keybase\\keybase.exe'}, 'filter_optional_messenger': {'ApplicationPath|endswith': '\\AppData\\Local\\Programs\\Messenger\\Messenger.exe'}, 'filter_optional_opera': {'ApplicationPath|contains|all': [':\\Users\\', '\\AppData\\Local\\Programs\\Opera\\', '\\opera.exe']}, 'filter_optional_brave': {'ApplicationPath|contains|all': [':\\Users\\', '\\AppData\\Local\\BraveSoftware\\Brave-Browser\\Application\\brave.exe']}, 'condition': 'selection and not 1 of filter_optional_*'}",low,['T1562']
79609c82-a488-426e-abcf-9f341a39365d,"{'selection': {'EventID': [2033, 2059]}, 'filter_main_svchost': {'ModifyingApplication|endswith': ':\\Windows\\System32\\svchost.exe'}, 'filter_optional_msmpeng': {'ModifyingApplication|contains|all': [':\\ProgramData\\Microsoft\\Windows Defender\\Platform\\', '\\MsMpEng.exe']}, 'condition': 'selection and not 1 of filter_main_* and not 1 of filter_optional_*'}",high,['T1562']
c187c075-bb3e-4c62-b4fa-beae0ffc211f,"{'selection': {'EventID': [2006, 2052]}, 'filter_main_generic': {'ModifyingApplication|startswith': ['C:\\Program Files\\', 'C:\\Program Files (x86)\\']}, 'filter_main_svchost': {'ModifyingApplication': 'C:\\Windows\\System32\\svchost.exe'}, 'filter_optional_msmpeng': {'ModifyingApplication|startswith': 'C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\', 'ModifyingApplication|endswith': '\\MsMpEng.exe'}, 'filter_main_null': {'ModifyingApplication': None}, 'filter_main_empty': {'ModifyingApplication': ''}, 'condition': 'selection and not 1 of filter_main_* and not 1 of filter_optional_*'}",medium,['T1562']
7ec15688-fd24-4177-ba43-1a950537ee39,"{'selection': {'EventID': 2009}, 'condition': 'selection'}",low,['T1562']
04b60639-39c0-412a-9fbe-e82499c881a3,"{'selection': {'EventID': [2032, 2060]}, 'condition': 'selection'}",low,['T1562']
00bb5bd5-1379-4fcf-a965-a5b6f7478064,"{'selection': {'EventID': [2002, 2083, 2003, 2082, 2008]}, 'condition': 'selection'}",low,['T1562']
31d68132-4038-47c7-8f8e-635a39a7c174,"{'generic_search': {'EventID': 30, 'SearchFilter|contains': ['(groupType:1.2.840.113556.1.4.803:=2147483648)', '(groupType:1.2.840.113556.1.4.803:=2147483656)', '(groupType:1.2.840.113556.1.4.803:=2147483652)', '(groupType:1.2.840.113556.1.4.803:=2147483650)', '(sAMAccountType=805306369)', '(sAMAccountType=805306368)', '(sAMAccountType=536870913)', '(sAMAccountType=536870912)', '(sAMAccountType=268435457)', '(sAMAccountType=268435456)', '(objectCategory=groupPolicyContainer)', '(objectCategory=organizationalUnit)', '(objectCategory=Computer)', '(objectCategory=nTDSDSA)', '(objectCategory=server)', '(objectCategory=domain)', '(objectCategory=person)', '(objectCategory=group)', '(objectCategory=user)', '(objectClass=trustedDomain)', '(objectClass=computer)', '(objectClass=server)', '(objectClass=group)', '(objectClass=user)', '(primaryGroupID=521)', '(primaryGroupID=516)', '(primaryGroupID=515)', '(primaryGroupID=512)', 'Domain Admins', 'objectGUID=\\*', '(schemaIDGUID=\\*)']}, 'suspicious_flag': {'EventID': 30, 'SearchFilter|contains': ['(userAccountControl:1.2.840.113556.1.4.803:=4194304)', '(userAccountControl:1.2.840.113556.1.4.803:=2097152)', '!(userAccountControl:1.2.840.113556.1.4.803:=1048574)', '(userAccountControl:1.2.840.113556.1.4.803:=524288)', '(userAccountControl:1.2.840.113556.1.4.803:=65536)', '(userAccountControl:1.2.840.113556.1.4.803:=8192)', '(userAccountControl:1.2.840.113556.1.4.803:=544)', '!(UserAccountControl:1.2.840.113556.1.4.803:=2)', 'msDS-AllowedToActOnBehalfOfOtherIdentity', 'msDS-AllowedToDelegateTo', 'msDS-GroupManagedServiceAccount', '(accountExpires=9223372036854775807)', '(accountExpires=0)', '(adminCount=1)', 'ms-MCS-AdmPwd']}, 'narrow_down_filter': {'EventID': 30, 'SearchFilter|contains': ['(domainSid=*)', '(objectSid=*)']}, 'condition': '(generic_search and not narrow_down_filter) or suspicious_flag'}",medium,"['T1069', 'T1087', 'T1482']"
550d3350-bb8a-4ff3-9533-2ba533f4a1c0,"{'keywords_cmdlet': {'|all': ['OabVirtualDirectory', ' -ExternalUrl ']}, 'keywords_params': ['eval(request', 'http://f/<script', '""unsafe""};', 'function Page_Load()'], 'condition': 'keywords_cmdlet and keywords_params'}",critical,['T1587']
b7bc7038-638b-4ffd-880c-292c692209ef,"{'keywords_export_command': {'|all': ['New-ExchangeCertificate', ' -GenerateRequest', ' -BinaryEncoded', ' -RequestFile']}, 'keywords_export_params': ['\\\\\\\\localhost\\\\C$', '\\\\\\\\127.0.0.1\\\\C$', 'C:\\\\inetpub', '.aspx'], 'condition': 'keywords_export_command and keywords_export_params'}",critical,['T1505']
516376b4-05cd-4122-bae0-ad7641c38d48,"{'export_command': {'|all': ['New-MailboxExportRequest', ' -Mailbox ']}, 'export_params': ['-FilePath ""\\\\\\\\', '.aspx'], 'role_assignment': {'|all': ['New-ManagementRoleAssignment', ' -Role ""Mailbox Import Export""', ' -User ']}, 'condition': '(export_command and export_params) or role_assignment'}",critical,['T1505']
09570ae5-889e-43ea-aac0-0e1221fb3d95,"{'keywords': {'|all': ['Remove-MailboxExportRequest', ' -Identity ', ' -Confirm ""False""']}, 'condition': 'keywords'}",high,['T1070']
9db37458-4df2-46a5-95ab-307e7f29e675,"{'keywords': {'|all': ['Set-OabVirtualDirectory', 'ExternalUrl', 'Page_Load', 'script']}, 'condition': 'keywords'}",high,['T1505']
4fe151c2-ecf9-4fae-95ae-b88ec9c2fca6,"{'selection': ['Install-TransportAgent'], 'condition': 'selection'}",medium,['T1505']
c7d16cae-aaf3-42e5-9c1c-fb8553faa6fa,"{'selection': {'EventID': 6, 'Data|contains': 'Install-TransportAgent'}, 'condition': 'selection'}",high,['T1505']
98c3bcf1-56f2-49dc-9d8d-c66cf190238b,"{'selection': {'EventID': 8002}, 'condition': 'selection'}",low,['T1550']
9c8acf1a-cbf9-4db6-b63c-74baabe03e59,"{'selection': {'EventID': 8004}, 'devicename': {'WorkstationName': ['Rdesktop', 'Remmina', 'Freerdp', 'Windows7', 'Windows8', 'Windows2012', 'Windows2016', 'Windows2019']}, 'condition': 'selection and devicename'}",medium,['T1110']
ce5678bb-b9aa-4fb5-be4b-e57f686256ad,"{'selection': {'EventID': 8001, 'TargetName|startswith': 'TERMSRV'}, 'condition': 'selection'}",medium,['T1219']
3ce8e9a4-bc61-4c9b-8e69-d7e2492a8781,"{'selection': {'EventID': 4, 'process': 'sshd', 'payload|startswith': 'Server listening on '}, 'condition': 'selection'}",medium,['T1021']
ff151c33-45fa-475d-af4f-c2f93571f4fe,"{'selection': {'EventID': [4656, 4663], 'ObjectType': 'Key', 'ObjectName': '\\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Microsoft Online\\Reporting\\MonitoringAgent'}, 'filter': {'ProcessName|contains': ['Microsoft.Identity.Health.Adfs.DiagnosticsAgent.exe', 'Microsoft.Identity.Health.Adfs.InsightsService.exe', 'Microsoft.Identity.Health.Adfs.MonitoringAgent.Startup.exe', 'Microsoft.Identity.Health.Adfs.PshSurrogate.exe', 'Microsoft.Identity.Health.Common.Clients.ResourceMonitor.exe']}, 'condition': 'selection and not filter'}",medium,['T1012']
1d2ab8ac-1a01-423b-9c39-001510eae8e8,"{'selection': {'EventID': [4656, 4663], 'ObjectType': 'Key', 'ObjectName': '\\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\ADHealthAgent'}, 'filter': {'ProcessName|contains': ['Microsoft.Identity.Health.Adfs.DiagnosticsAgent.exe', 'Microsoft.Identity.Health.Adfs.InsightsService.exe', 'Microsoft.Identity.Health.Adfs.MonitoringAgent.Startup.exe', 'Microsoft.Identity.Health.Adfs.PshSurrogate.exe', 'Microsoft.Identity.Health.Common.Clients.ResourceMonitor.exe']}, 'condition': 'selection and not filter'}",medium,['T1012']
2c99737c-585d-4431-b61a-c911d86ff32f,"{'selection': {'EventID': 5136, 'AttributeLDAPDisplayName': 'ntSecurityDescriptor', 'AttributeValue|contains': ['1131f6ad-9c07-11d1-f79f-00c04fc2dcd2', '1131f6aa-9c07-11d1-f79f-00c04fc2dcd2', '89e95b76-444d-4c62-991a-0facbeda640c']}, 'filter_main_dns_object_class': {'ObjectClass': ['dnsNode', 'dnsZoneScope', 'dnsZone']}, 'condition': 'selection and not 1 of filter_main_*'}",high,['T1098']
35ba1d85-724d-42a3-889f-2e2362bcaf23,"{'selection': {'EventID': 4661, 'ObjectType': ['SAM_USER', 'SAM_GROUP']}, 'selection_object': [{'ObjectName|endswith': ['-512', '-502', '-500', '-505', '-519', '-520', '-544', '-551', '-555']}, {'ObjectName|contains': 'admin'}], 'filter': {'SubjectUserName|endswith': '$'}, 'condition': 'selection and selection_object and not filter'}",high,['T1087']
20d96d95-5a20-4cf1-a483-f3bda8a7c037,"{'selection': {'EventID': [4741, 4743]}, 'condition': 'selection'}",low,['T1207']
098d7118-55bc-4912-a836-dc6483a8d150,"{'selection': {'EventID': 5140, 'ShareName': 'Admin$'}, 'filter_main_computer_account': {'SubjectUserName|endswith': '$'}, 'condition': 'selection and not 1 of filter_*'}",low,['T1021']
028c7842-4243-41cd-be6f-12f3cf1a26c7,"{'selection': {'EventID': 4662, 'ObjectServer': 'DS', 'AccessMask': '0x40000', 'ObjectType': ['19195a5b-6da0-11d0-afd3-00c04fd930c9', 'domainDNS']}, 'condition': 'selection'}",critical,['T1222']
17d619c1-e020-4347-957e-1d1207455c93,"{'selection': {'EventID': 4662, 'AccessMask': '0x100', 'Properties|contains': ['1131f6aa-9c07-11d1-f79f-00c04fc2dcd2', '1131f6ad-9c07-11d1-f79f-00c04fc2dcd2', '89e95b76-444d-4c62-991a-0facbeda640c']}, 'filter': [{'SubjectUserName|endswith': '$'}, {'SubjectUserName|startswith': 'MSOL_'}], 'condition': 'selection and not filter'}",critical,['T1003']
ab6bffca-beff-4baa-af11-6733f296d57a,"{'selection': {'EventID': 4662, 'ObjectType|contains': 'bf967aba-0de6-11d0-a285-00aa003049e2', 'AccessMask|endswith': ['1?', '3?', '4?', '7?', '9?', 'B?', 'D?', 'F?']}, 'filter_main_machine_accounts': {'SubjectUserName|endswith': '$'}, 'filter_main_msql': {'SubjectUserName|startswith': 'MSOL_'}, 'condition': 'selection and not 1 of filter_main_*'}",medium,['T1087']
311b6ce2-7890-4383-a8c2-663a9f6b43cd,"{'selection_base': {'EventID': 4704}, 'selection_keywords': {'PrivilegeList|contains': 'SeEnableDelegationPrivilege'}, 'condition': 'all of selection*'}",high,['T1098']
300bac00-e041-4ee2-9c36-e262656a6ecc,"{'selection1': {'EventID': 4738}, 'filter_empty': {'AllowedToDelegateTo': ['', '-']}, 'filter_null': {'AllowedToDelegateTo': None}, 'selection_5136_1': {'EventID': 5136, 'AttributeLDAPDisplayName': 'msDS-AllowedToDelegateTo'}, 'selection_5136_2': {'EventID': 5136, 'ObjectClass': 'user', 'AttributeLDAPDisplayName': 'servicePrincipalName'}, 'selection_5136_3': {'EventID': 5136, 'AttributeLDAPDisplayName': 'msDS-AllowedToActOnBehalfOfOtherIdentity'}, 'condition': '(selection1 and not 1 of filter_*) or 1 of selection_5136_*'}",high,['T1098']
f6de9536-0441-4b3f-a646-f4e00f300ffd,"{'selection': {'EventID': 4738}, 'olduac_des': {'OldUacValue|endswith': ['8???', '9???', 'A???', 'B???', 'C???', 'D???', 'E???', 'F???']}, 'newuac_des': {'NewUacValue|endswith': ['8???', '9???', 'A???', 'B???', 'C???', 'D???', 'E???', 'F???']}, 'olduac_preauth': {'OldUacValue|endswith': ['1????', '3????', '5????', '7????', '9????', 'B????', 'D????', 'F????']}, 'newuac_preauth': {'NewUacValue|endswith': ['1????', '3????', '5????', '7????', '9????', 'B????', 'D????', 'F????']}, 'olduac_encrypted': {'OldUacValue|endswith': ['8??', '9??', 'A??', 'B??', 'C??', 'D??', 'E??', 'F??']}, 'newuac_encrypted': {'NewUacValue|endswith': ['8??', '9??', 'A??', 'B??', 'C??', 'D??', 'E??', 'F??']}, 'condition': 'selection and ((newuac_des and not olduac_des) or (newuac_preauth and not olduac_preauth) or (newuac_encrypted and not olduac_encrypted))'}",high,['T1562']
24549159-ac1b-479c-8175-d42aea947cae,"{'selection1': {'EventID': 4776, 'Workstation': 'RULER'}, 'selection2': {'EventID': [4624, 4625], 'WorkstationName': 'RULER'}, 'condition': '(1 of selection*)'}",high,"['T1059', 'T1087', 'T1114', 'T1550']"
f6de6525-4509-495a-8a82-1f8b0ed73a00,"{'selection': {'EventID': 5145, 'ShareName': '\\\\\\\\\\*\\\\IPC$', 'RelativeTargetName': 'atsvc', 'AccessList|contains': 'WriteData'}, 'condition': 'selection'}",medium,['T1053']
d99b79d2-0a6f-4f46-ad8b-260b6e17f982,"{'selection_517': {'EventID': 517, 'Provider_Name': 'Security'}, 'selection_1102': {'EventID': 1102, 'Provider_Name': 'Microsoft-Windows-Eventlog'}, 'condition': '1 of selection_*'}",high,['T1070']
8cd538a4-62d5-4e83-810b-12d41e428d6e,"{'selection': {'EventID': [4657, 4656, 4663], 'ObjectName|contains': ['\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\CapabilityAccessManager\\ConsentStore\\microphone\\NonPackaged', '\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\CapabilityAccessManager\\ConsentStore\\webcam\\NonPackaged']}, 'condition': 'selection'}",medium,['T1123']
d7a95147-145f-4678-b85d-d1ff4a3bb3f6,"{'event_id': {'EventID': 4697}, 'selection1': {'ServiceFileName|contains|all': ['ADMIN$', '.exe']}, 'selection2': {'ServiceFileName|contains|all': ['%COMSPEC%', 'start', 'powershell']}, 'selection3': {'ServiceFileName|contains': 'powershell -nop -w hidden -encodedcommand'}, 'selection4': {'ServiceFileName|base64offset|contains': ""IEX (New-Object Net.Webclient).DownloadString('http://127.0.0.1:""}, 'condition': 'event_id and 1 of selection*'}",high,"['T1021', 'T1543', 'T1569']"
470ec5fa-7b4e-4071-b200-4c753100f49b,"{'selection': {'EventID': [5038, 6281]}, 'condition': 'selection'}",informational,['T1027']
214e8f95-100a-4e04-bb31-ef6cba8ce07e,"{'selection': {'EventID': 5145, 'ShareName': '\\\\\\\\\\*\\\\IPC$', 'RelativeTargetName': 'spoolss'}, 'condition': 'selection'}",medium,['T1021']
c39f0c81-7348-4965-ab27-2fde35a1b641,"{'selection': {'EventID': 5145, 'RelativeTargetName|endswith': '\\Internet Explorer\\iertutil.dll'}, 'filter': {'SubjectUserName|endswith': '$'}, 'condition': 'selection and not filter'}",high,['T1021']
611eab06-a145-4dfa-a295-3ccc5c20f59a,"{'selection': {'EventID': 4662, 'Properties|contains': ['Replicating Directory Changes All', '1131f6ad-9c07-11d1-f79f-00c04fc2dcd2', '1131f6aa-9c07-11d1-f79f-00c04fc2dcd2', '9923a32a-3607-11d2-b9be-0000f87a36b2', '89e95b76-444d-4c62-991a-0facbeda640c'], 'AccessMask': '0x100'}, 'filter1': {'SubjectDomainName': 'Window Manager'}, 'filter2': {'SubjectUserName|startswith': ['NT AUT', 'MSOL_']}, 'filter3': {'SubjectUserName|endswith': '$'}, 'condition': 'selection and not 1 of filter*'}",high,['T1003']
c9eb55c3-b468-40ab-9089-db2862e42137,"{'selection': {'EventID': 6423}, 'condition': 'selection'}",medium,['T1200']
